Alcohol,Flavanoids
14.23,3.06
13.2,2.76
13.16,3.24
14.37,3.49
13.24,2.69
14.2,3.39
14.39,2.52
14.06,2.51
14.83,2.98
13.86,3.15
14.1,3.32
14.12,2.43
13.75,2.76
14.75,3.69
14.38,3.64
13.63,2.91
14.3,3.14
13.83,3.4
14.19,3.93
13.64,3.03
14.06,3.17
12.93,2.41
13.71,2.88
12.85,2.37
13.5,2.61
13.05,2.68
13.39,2.94
13.3,2.19
13.87,2.97
14.02,2.33
13.73,3.25
13.58,3.19
13.68,2.69
13.76,2.74
13.51,2.53
13.48,2.98
13.28,2.68
13.05,2.43
13.07,2.64
14.22,3.04
13.56,3.29
13.41,2.68
13.88,3.56
13.24,2.63
13.05,3
14.21,2.65
14.38,3.17
13.9,3.39
14.1,2.92
13.94,3.54
13.05,3.27
13.83,2.99
13.82,3.74
13.77,2.79
13.74,2.9
13.56,2.78
14.22,3
13.29,3.23
13.72,3.67
12.37,0.57
12.33,1.09
12.64,1.41
13.67,1.79
12.37,3.1
12.17,1.75
12.37,2.65
13.11,3.18
12.37,2
13.34,1.3
12.21,1.28
12.29,1.02
13.86,2.86
13.49,1.84
12.99,2.89
11.96,2.14
11.66,1.57
13.03,2.03
11.84,1.32
12.33,1.85
12.7,2.55
12,2.26
12.72,2.53
12.08,1.58
13.05,1.59
11.84,2.21
12.67,1.94
12.16,1.69
11.65,1.61
11.64,1.69
12.08,1.59
12.08,1.5
12,1.25
12.69,1.46
12.29,2.25
11.62,2.26
12.47,2.27
11.81,0.99
12.29,2.5
12.37,3.75
12.29,2.99
